Value,Count_R,Count_G,Count_B
927,310,137,281
928,236,109,274
929,162,102,183
930,119,92,109
931,88,83,95
932,80,60,69
933,70,58,76
934,51,41,52
935,54,36,51
936,45,29,59
937,53,18,70
938,50,15,58
939,45,12,34
940,41,13,50
941,32,13,33
942,37,12,38
943,29,20,30
944,31,11,38
945,31,13,30
946,19,16,33
947,17,17,20
948,25,14,28
949,25,19,15
950,13,14,16
951,15,4,11
952,6,9,15
953,8,12,6
954,9,5,6
955,6,9,6
956,4,8,3
957,7,8,3
958,5,8,8
959,2,12,3
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,5359,23903,4848
965,5313,14698,5264
966,5015,20048,4698
967,6294,16936,6135
968,8050,24846,7642
969,7752,30215,8176
970,8756,28413,8946
971,10148,20437,10207
972,10596,12934,10585
973,9666,11066,9792
974,6679,8350,6449
975,4606,7473,4469
976,4617,6332,4564
977,4404,7095,4456
978,3381,4684,3401
979,3017,2883,2736
980,2461,1946,2520
981,2295,1086,2112
982,2131,922,2100
983,2359,884,2186
984,2063,627,2251
985,1115,393,1306
986,854,225,817
987,679,186,706
988,548,178,632
989,479,144,483
990,324,130,391
991,261,110,258
992,219,87,247
993,166,107,177
994,111,96,114
995,91,79,89
996,71,60,67
997,61,57,81
998,62,38,62
999,64,34,57
1000,54,38,55
1001,41,18,62
1002,51,18,32
1003,39,14,60
1004,43,9,32
1005,37,12,43
1006,32,18,27
1007,34,6,20
1008,37,13,29
1009,33,8,19
1010,24,12,26
1011,24,12,19
1012,19,18,22
1013,17,8,29
1014,20,11,17
1015,21,10,9
1016,7,17,8
1017,5,5,8
1018,5,4,8
1019,7,8,6
1020,4,6,4
1021,8,10,4
1022,4,7,2
1023,62879,123761,63540
